#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
ERI2	3	MS							59	upper_aerodigestive_tract(1);cervix(1);large_intestine(9);stomach(3);kidney(2);haematopoietic_and_lymphoid_tissue(3);liver(3);endometrium(7);urinary_tract(2);lung(3);breast(4);skin(7);ovary(1);NS(1);prostate(2);bone(4);pancreas(6)	1	No GeneCards annotation	0					0.042	0.95749	1							
AC004381.6	1	SY									1	No GeneCards annotation	0														
DCUN1D3	1	SY							75	upper_aerodigestive_tract(4);thyroid(3);large_intestine(10);stomach(1);cervix(2);haematopoietic_and_lymphoid_tissue(3);endometrium(5);oesophagus(2);breast(9);skin(14);lung(3);ovary(2);NS(3);prostate(2);bone(2);kidney(5);liver(5)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=DCUN1D3[TIAB]+AND+cancer[TIAB]													
DNAH3	12	MS							1508	large_intestine(171);endometrium(102);lung(97);skin(471);autonomic_ganglia(7);kidney(29);thyroid(13);cervix(22);central_nervous_system(35);oesophagus(50);NS(52);upper_aerodigestive_tract(27);biliary_tract(10);stomach(88);soft_tissue(15);urinary_tract(33);liver(76);prostate(41);pancreas(33);adrenal_gland(1);small_intestine(4);haematopoietic_and_lymphoid_tissue(43);thymus(1);ovary(23);bone(9);breast(55)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=DNAH3[TIAB]+AND+cancer[MH]				0.366	0.791930753665562	1	../MuPIT_Interactive?gm=chr16:20948596,chr16:20954951,chr16:20955040,chr16:20965038,chr16:20969840						
TMEM159	2	MS							42	large_intestine(12);stomach(3);soft_tissue(1);haematopoietic_and_lymphoid_tissue(1);endometrium(3);urinary_tract(2);lung(1);liver(2);skin(9);ovary(1);NS(1);prostate(5);kidney(1)	1	No GeneCards annotation	0					0.141	0.969349878374864	1	../MuPIT_Interactive?gm=chr16:21174063						
ZP2	1	SY							270	large_intestine(27);endometrium(18);lung(18);skin(92);kidney(5);cervix(5);central_nervous_system(5);oesophagus(6);parathyroid(1);NS(5);upper_aerodigestive_tract(1);biliary_tract(2);stomach(13);soft_tissue(17);urinary_tract(11);breast(11);prostate(2);pancreas(5);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);ovary(5);bone(2);liver(11)	1	 The zona pellucida is an extracellular matrix that surrounds the oocyte and early embryo. It is composed primarily	1	http://www.ncbi.nlm.nih.gov/pubmed?term=ZP2[TIAB]+AND+cancer[MH]													
CRYM	1	SY					C4084708	OMIM:616357	55	thyroid(1);large_intestine(9);stomach(3);soft_tissue(1);central_nervous_system(1);kidney(1);biliary_tract(1);endometrium(1);urinary_tract(2);oesophagus(1);breast(6);skin(13);lung(5);NS(2);prostate(3);bone(1);pancreas(4)	1	 Crystallins are separated into two classes: taxon-specific and ubiquitous. The former class is also called	3	http://www.ncbi.nlm.nih.gov/pubmed?term=CRYM[TIAB]+AND+cancer[MH]													
NPIPB3	2	MS									1	No GeneCards annotation	0					0.186	0.55652	1							
OTOA	1	MS					C1846896	OMIM:607039	297	large_intestine(39);endometrium(17);lung(20);skin(63);autonomic_ganglia(1);kidney(2);thyroid(1);cervix(6);central_nervous_system(11);oesophagus(16);parathyroid(1);NS(13);upper_aerodigestive_tract(3);biliary_tract(4);stomach(20);soft_tissue(11);urinary_tract(4);liver(15);prostate(10);pancreas(5);small_intestine(2);haematopoietic_and_lymphoid_tissue(14);ovary(2);bone(4);breast(13)	1	 The protein encoded by this gene is specifically expressed in the inner ear, and is located at the interface	1	http://www.ncbi.nlm.nih.gov/pubmed?term=OTOA[TIAB]+AND+cancer[MH]				0.134	0.67574	1							
VWA3A	3	MS							68	upper_aerodigestive_tract(1);thyroid(4);large_intestine(13);stomach(2);soft_tissue(1);central_nervous_system(2);cervix(1);haematopoietic_and_lymphoid_tissue(3);liver(5);biliary_tract(1);endometrium(1);kidney(1);lung(2);breast(4);skin(15);oesophagus(1);ovary(1);NS(6);bone(2);pancreas(2)	1	No GeneCards annotation	0					0.087	0.999220403378182	1	../MuPIT_Interactive?gm=chr16:22149815						
SDR42E2	2	MS							10	biliary_tract(1);haematopoietic_and_lymphoid_tissue(1);large_intestine(1);oesophagus(1);breast(4);lung(1);kidney(1)	1	No GeneCards annotation	0					0.27	0.787782096903445	1	../MuPIT_Interactive?gm=chr16:22166935,chr16:22181575						
EEF2K	4	MS							208	large_intestine(40);endometrium(18);lung(11);skin(48);autonomic_ganglia(1);kidney(3);thyroid(2);cervix(4);central_nervous_system(1);oesophagus(5);NS(6);upper_aerodigestive_tract(6);biliary_tract(4);stomach(12);soft_tissue(3);urinary_tract(6);liver(9);prostate(8);pancreas(2);haematopoietic_and_lymphoid_tissue(2);ovary(1);bone(3);breast(13)	1	 This gene encodes a highly conserved protein kinase in the calmodulin-mediated signaling pathway that links	6	http://www.ncbi.nlm.nih.gov/pubmed?term=EEF2K[TIAB]+AND+cancer[MH]				0.126	0.998973587128205	1							
NPIPB5	1	MS									1	No GeneCards annotation	0					0.064	0.9074	1							
HS3ST2	2	SY							209	thyroid(4);upper_aerodigestive_tract(5);large_intestine(22);stomach(14);soft_tissue(5);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(7);liver(8);biliary_tract(3);endometrium(7);urinary_tract(3);kidney(2);lung(11);breast(14);skin(44);oesophagus(7);ovary(2);NS(2);prostate(2);bone(2);pancreas(43)	1	 Heparan sulfate biosynthetic enzymes are key components in generating a myriad of distinct heparan sulfate fine	10	http://www.ncbi.nlm.nih.gov/pubmed?term=HS3ST2[TIAB]+AND+cancer[MH]													
USP31	2	MS							331	large_intestine(57);endometrium(20);lung(18);skin(63);kidney(7);thyroid(2);cervix(6);central_nervous_system(5);oesophagus(11);NS(8);upper_aerodigestive_tract(4);biliary_tract(5);stomach(28);soft_tissue(6);urinary_tract(9);breast(19);prostate(10);pancreas(11);adrenal_gland(1);salivary_gland(2);haematopoietic_and_lymphoid_tissue(11);ovary(7);bone(3);liver(18)	1	No GeneCards annotation	0					0.027	0.97956	1							
SCNN1G	2	SY					C0221043	OMIM:177200;SNOMED CT:Pseudoprimary hyperaldosteronism	267	large_intestine(48);endometrium(14);lung(8);skin(83);meninges(1);kidney(10);thyroid(1);cervix(4);central_nervous_system(9);oesophagus(8);NS(4);autonomic_ganglia(1);upper_aerodigestive_tract(5);biliary_tract(2);stomach(15);soft_tissue(1);urinary_tract(1);breast(5);prostate(8);pancreas(8);small_intestine(1);haematopoietic_and_lymphoid_tissue(10);ovary(2);bone(1);liver(17)	1	 Nonvoltage-gated, amiloride-sensitive, sodium channels control fluid and electrolyte transport across epithelia in	0														
SCNN1B	1	SY					C0221043	OMIM:177200;SNOMED CT:Pseudoprimary hyperaldosteronism	181	upper_aerodigestive_tract(5);cervix(1);large_intestine(30);stomach(16);soft_tissue(2);central_nervous_system(5);haematopoietic_and_lymphoid_tissue(4);breast(5);biliary_tract(1);endometrium(11);urinary_tract(3);lung(8);liver(13);skin(45);oesophagus(2);ovary(4);NS(7);prostate(7);bone(1);kidney(5);pancreas(6)	1	 Nonvoltage-gated, amiloride-sensitive, sodium channels control fluid and electrolyte transport across epithelia in	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SCNN1B[TIAB]+AND+cancer[MH]													
GGA2	2	MS							117	large_intestine(21);endometrium(15);lung(5);skin(18);kidney(1);thyroid(3);cervix(2);central_nervous_system(4);oesophagus(2);NS(5);upper_aerodigestive_tract(4);biliary_tract(1);stomach(7);urinary_tract(4);liver(7);prostate(1);pancreas(6);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);ovary(2);bone(1);breast(4)	1	 This gene encodes a member of the Golgi-localized, gamma adaptin ear-containing, ARF-binding (GGA) family. This	2	http://www.ncbi.nlm.nih.gov/pubmed?term=GGA2[TIAB]+AND+cancer[MH]				0.017	0.99039	1							
EARS2	3	MS					C3554079	OMIM:614924	94	upper_aerodigestive_tract(4);cervix(2);large_intestine(14);stomach(7);soft_tissue(2);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(3);liver(7);biliary_tract(3);endometrium(6);urinary_tract(1);kidney(1);lung(7);breast(10);skin(11);oesophagus(5);NS(1);prostate(2);thyroid(2);bone(3);pancreas(2)	1	 Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. The protein	0					0.022	0.98502	1	../MuPIT_Interactive?gm=chr16:23525363						
NDUFAB1	1	SY							27	upper_aerodigestive_tract(3);large_intestine(7);stomach(3);haematopoietic_and_lymphoid_tissue(1);endometrium(3);oesophagus(3);breast(1);skin(2);lung(1);NS(1);kidney(2)	1	No GeneCards annotation	0														
ERN2	1	MS									1	No GeneCards annotation	0					0.061	0.9163	1							
RBBP6	2	SS							391	large_intestine(57);endometrium(46);lung(22);skin(62);kidney(19);thyroid(2);cervix(2);central_nervous_system(8);oesophagus(12);parathyroid(1);NS(13);upper_aerodigestive_tract(4);biliary_tract(5);stomach(29);soft_tissue(7);urinary_tract(13);liver(21);prostate(8);pancreas(18);adrenal_gland(2);haematopoietic_and_lymphoid_tissue(10);ovary(9);bone(4);breast(17)	1	 The retinoblastoma tumor suppressor (pRB) protein binds with many other proteins. In various human cancers, pRB	6	http://www.ncbi.nlm.nih.gov/pubmed?term=RBBP6[TIAB]+AND+cancer[MH]				0.91	0.02888	1							
TNRC6A	1	SY							476	large_intestine(92);endometrium(43);lung(22);skin(47);autonomic_ganglia(1);kidney(13);thyroid(6);cervix(5);eye(1);central_nervous_system(12);genital_tract(1);oesophagus(15);NS(13);upper_aerodigestive_tract(16);biliary_tract(7);stomach(38);soft_tissue(7);urinary_tract(18);breast(25);prostate(10);pancreas(10);salivary_gland(1);haematopoietic_and_lymphoid_tissue(17);ovary(8);bone(7);liver(41)	1	 This gene encodes a member of the trinucleotide repeat containing 6 protein family. The protein functions in	3	http://www.ncbi.nlm.nih.gov/pubmed?term=TNRC6A[TIAB]+AND+cancer[MH]													
SLC5A11	2	MS							236	upper_aerodigestive_tract(3);cervix(5);large_intestine(39);stomach(9);soft_tissue(7);kidney(7);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);liver(11);biliary_tract(2);endometrium(14);urinary_tract(8);lung(33);breast(5);skin(51);oesophagus(2);ovary(5);NS(12);prostate(4);bone(4);pancreas(10)	1	 Cotransporters, such as SLC5A11, represent a major class of proteins that make use of ion gradients to drive	0					0.271	0.370633033649622	1	../MuPIT_Interactive?gm=chr16:24877325,chr16:24906727						
ZKSCAN2	1	SY							242	large_intestine(42);pleura(1);endometrium(15);lung(14);skin(57);kidney(4);thyroid(1);cervix(4);central_nervous_system(4);oesophagus(5);NS(4);upper_aerodigestive_tract(7);biliary_tract(4);stomach(17);soft_tissue(2);urinary_tract(7);breast(7);prostate(7);pancreas(4);salivary_gland(1);haematopoietic_and_lymphoid_tissue(7);ovary(7);bone(2);liver(19)	1	No GeneCards annotation	0														
HS3ST4	1	MS							215	thyroid(2);large_intestine(24);stomach(13);soft_tissue(7);central_nervous_system(5);biliary_tract(5);endometrium(9);urinary_tract(2);oesophagus(12);liver(14);skin(60);lung(16);ovary(2);NS(13);prostate(13);bone(1);breast(12);pancreas(5)	1	 This gene encodes the enzyme heparan sulfate D-glucosaminyl 3-O-sulfotransferase 4. This enzyme generates	1	http://www.ncbi.nlm.nih.gov/pubmed?term=HS3ST4[TIAB]+AND+cancer[MH]				0.014	0.99302	1							
KDM8	1	SY									1	 This gene likely encodes a histone lysine demethylase. Studies of a similar protein in mouse indicate a potential	1	http://www.ncbi.nlm.nih.gov/pubmed?term=KDM8[TIAB]+AND+cancer[MH]													
IL4R	1	MS					C1836230	OMIM:609423	250	large_intestine(27);pleura(1);endometrium(9);lung(20);skin(44);kidney(5);thyroid(4);cervix(6);central_nervous_system(13);oesophagus(8);NS(4);upper_aerodigestive_tract(1);biliary_tract(3);stomach(10);soft_tissue(20);urinary_tract(5);breast(15);prostate(20);pancreas(4);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(17);ovary(3);bone(3);liver(7)	1	 This gene encodes the alpha chain of the interleukin-4 receptor, a type I transmembrane protein that can bind	35	http://www.ncbi.nlm.nih.gov/pubmed?term=IL4R[TIAB]+AND+cancer[MH]				0.015	0.99241	1	../MuPIT_Interactive?gm=chr16:27344882						
KIAA0556	2	MS					C4084843	OMIM:616784	421	large_intestine(84);endometrium(28);lung(33);skin(63);kidney(11);thyroid(6);cervix(8);central_nervous_system(8);oesophagus(20);NS(7);upper_aerodigestive_tract(11);biliary_tract(3);stomach(28);soft_tissue(8);urinary_tract(10);liver(38);prostate(12);pancreas(8);salivary_gland(1);haematopoietic_and_lymphoid_tissue(6);ovary(11);bone(4);breast(13)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=KIAA0556[TIAB]+AND+cancer[MH]				0.054	0.988536673360446	1							
GSG1L	1	SY							79	large_intestine(11);stomach(6);soft_tissue(1);pancreas(1);haematopoietic_and_lymphoid_tissue(2);peritoneum(2);endometrium(6);urinary_tract(2);lung(9);breast(1);skin(19);oesophagus(4);ovary(3);NS(2);prostate(4);bone(1);liver(5)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=GSG1L[TIAB]+AND+cancer[MH]													
SBK1	1	MS									1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SBK1[TIAB]+AND+cancer[MH]				0.735	0.05597	1	../MuPIT_Interactive?gm=chr16:28320184						
NPIPB6	4	MS									1	No GeneCards annotation	0					0.285	0.843098129599044	1							
APOBR	7	ID							308	large_intestine(40);endometrium(23);lung(12);skin(58);stomach(8);kidney(4);thyroid(14);cervix(4);central_nervous_system(8);oesophagus(12);NS(13);upper_aerodigestive_tract(24);biliary_tract(10);autonomic_ganglia(2);soft_tissue(10);urinary_tract(4);breast(28);prostate(5);pancreas(3);adrenal_gland(3);salivary_gland(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(1);liver(12)	1	 Apolipoprotein B48 receptor is a macrophage receptor that binds to the apolipoprotein B48 of dietary triglyceride	0					0.04	0.999616467560822	1							
IL27	1	MS							71	upper_aerodigestive_tract(2);thyroid(1);large_intestine(13);stomach(3);soft_tissue(2);central_nervous_system(3);haematopoietic_and_lymphoid_tissue(2);liver(3);endometrium(5);urinary_tract(2);lung(3);breast(5);skin(10);oesophagus(3);ovary(1);NS(5);prostate(2);bone(1);kidney(2);pancreas(3)	1	 The protein encoded by this gene is one of the subunits of a heterodimeric cytokine complex. This protein is related to  interleukin 12A (IL12A). It interacts with Epstein-Barr virus induced gene 3 (EBI3), a protein similar to interleukin  12B (IL12B), and forms a complex that has been shown to drive rapid expansion of naive but not memory CD4(+) T cells.  The complex is also found to synergize strongly with interleukin 12 to trigger interferon gamma (IFNG) production of  naive CD4(+) T cells. The biological effects of this cytokine are mediated by the class I cytokine receptor  (WSX1/TCRR). (provided by RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=IL27[MH]+AND+cancer[MH]				0.154	0.62443	1	../MuPIT_Interactive?gm=chr16:28502082						
SGF29	1	SY									1	No GeneCards annotation	0														
SULT1A2	4	MS							112	large_intestine(15);endometrium(3);lung(3);skin(23);autonomic_ganglia(1);kidney(3);thyroid(3);cervix(1);genital_tract(2);oesophagus(2);NS(1);upper_aerodigestive_tract(13);biliary_tract(1);stomach(5);soft_tissue(12);urinary_tract(6);breast(7);pancreas(2);haematopoietic_and_lymphoid_tissue(2);ovary(1);bone(1);liver(5)	1	 Sulfotransferase enzymes catalyze the sulfate conjugation of many hormones, neurotransmitters, drugs, and	16	http://www.ncbi.nlm.nih.gov/pubmed?term=SULT1A2[TIAB]+AND+cancer[MH]				0.69	0.904427389533381	1	../MuPIT_Interactive?gm=chr16:28592072,chr16:28592334						
SULT1A1	5	MS							201	upper_aerodigestive_tract(4);thyroid(3);large_intestine(18);stomach(13);soft_tissue(78);central_nervous_system(1);cervix(2);haematopoietic_and_lymphoid_tissue(7);biliary_tract(1);endometrium(5);urinary_tract(2);oesophagus(4);breast(5);skin(36);lung(4);ovary(2);NS(4);prostate(1);bone(2);kidney(8);liver(1)	1	 Sulfotransferase enzymes catalyze the sulfate conjugation of many hormones, neurotransmitters, drugs, and	156	http://www.ncbi.nlm.nih.gov/pubmed?term=SULT1A1[TIAB]+AND+cancer[MH]				0.088	0.932559411842792	1	../MuPIT_Interactive?gm=chr16:28606164,chr16:28606193						
NPIPB8	1	MS									1	No GeneCards annotation	0					0.051	0.94201	1	../MuPIT_Interactive?gm=chr16:28638466						
NPIPB9	1	SS									1	No GeneCards annotation	0					0.075	0.91658	1							
ATXN2L	1	SY							296	large_intestine(53);endometrium(10);lung(13);skin(41);autonomic_ganglia(1);kidney(15);thyroid(3);cervix(6);central_nervous_system(7);oesophagus(13);NS(6);upper_aerodigestive_tract(29);biliary_tract(2);stomach(18);soft_tissue(3);urinary_tract(11);breast(18);prostate(8);pancreas(4);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(7);ovary(1);bone(2);liver(23)	1	 This gene encodes an ataxin type 2 related protein of unknown function. This protein is a member of the spinocerebellar  ataxia (SCAs) family, which is associated with a complex group of neurodegenerative disorders. Several alternatively  spliced transcripts encoding different isoforms have been found for this gene. (provided by RefSeq)	0														
SH2B1	1	MS							207	large_intestine(29);endometrium(13);lung(6);skin(50);autonomic_ganglia(1);kidney(2);thyroid(1);cervix(3);central_nervous_system(2);oesophagus(6);NS(3);upper_aerodigestive_tract(22);biliary_tract(3);stomach(12);soft_tissue(12);urinary_tract(8);liver(7);prostate(8);pancreas(1);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);ovary(4);bone(2);breast(9)	1	 This gene encodes a member of the SH2-domain containing mediators family. The encoded protein mediates activation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=SH2B1[TIAB]+AND+cancer[MH]				0.027	0.97956	1							
ATP2A1	1	SY					C1832918	OMIM:601003	283	large_intestine(56);pleura(1);endometrium(21);lung(6);skin(45);stomach(25);kidney(10);thyroid(1);cervix(4);central_nervous_system(4);oesophagus(13);NS(8);upper_aerodigestive_tract(9);biliary_tract(2);autonomic_ganglia(2);soft_tissue(1);urinary_tract(9);liver(13);prostate(8);pancreas(9);small_intestine(2);haematopoietic_and_lymphoid_tissue(4);ovary(7);bone(5);breast(18)	1	 This gene encodes one of the SERCA Ca(2+)-ATPases, which are intracellular pumps located in the sarcoplasmic or  endoplasmic reticula of muscle cells. This enzyme catalyzes the hydrolysis of ATP coupled with the translocation of  calcium from the cytosol to the sarcoplasmic reticulum lumen, and is involved in muscular excitation and contraction.  Mutations in this gene cause some autosomal recessive forms of Brody disease, characterized by increasing impairment  of muscular relaxation during exercise. Alternative splicing results in two transcript variants encoding different  isoforms. (provided by RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=ATP2A1[TIAB]+AND+cancer[TIAB]													
CD19	1	MS					C3150354	OMIM:240500	140	large_intestine(14);endometrium(8);lung(8);skin(35);stomach(9);kidney(3);thyroid(1);cervix(2);central_nervous_system(3);oesophagus(6);NS(6);upper_aerodigestive_tract(1);biliary_tract(1);autonomic_ganglia(2);soft_tissue(4);urinary_tract(4);breast(10);prostate(4);pancreas(5);haematopoietic_and_lymphoid_tissue(4);ovary(4);bone(1);liver(5)	1	 Lymphocytes proliferate and differentiate in response to various concentrations of different antigens. The ability of  the B cell to respond in a specific, yet sensitive manner to the various antigens is achieved with the use of  low-affinity antigen receptors. This gene encodes a cell surface molecule which assembles with the antigen receptor of  B lymphocytes in order to decrease the threshold for antigen receptor-dependent stimulation. (provided by RefSeq)	2762	http://www.ncbi.nlm.nih.gov/pubmed?term=CD19[TIAB]+AND+cancer[MH]				0.078	0.86287	1							
NPIPB11	1	SY									1	No GeneCards annotation	0														
QPRT	1	MS							71	thyroid(3);cervix(1);large_intestine(10);stomach(2);soft_tissue(3);biliary_tract(1);pancreas(2);haematopoietic_and_lymphoid_tissue(2);salivary_gland(1);endometrium(2);urinary_tract(4);lung(6);breast(4);skin(14);oesophagus(4);NS(1);prostate(1);kidney(2);liver(8)	1	 This gene encodes a key enzyme in catabolism of quinolinate, an intermediate in the tryptophan-nicotinamide	2	http://www.ncbi.nlm.nih.gov/pubmed?term=QPRT[TIAB]+AND+cancer[MH]				0.011	0.99453	1	../MuPIT_Interactive?gm=chr16:29697029						
ZG16	2	MS							21	thyroid(1);salivary_gland(1);soft_tissue(1);haematopoietic_and_lymphoid_tissue(4);large_intestine(3);endometrium(4);lung(2);breast(1);skin(1);kidney(1);pancreas(2)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=ZG16[TIAB]+AND+cancer[MH]				0.091	0.969394179236757	1	../MuPIT_Interactive?gm=chr16:29779543						
KIF22	2	SY					C1863732	OMIM:603546	104	upper_aerodigestive_tract(7);cervix(2);biliary_tract(3);stomach(7);soft_tissue(1);central_nervous_system(1);pancreas(1);haematopoietic_and_lymphoid_tissue(2);large_intestine(21);endometrium(8);urinary_tract(1);adrenal_gland(1);lung(6);breast(8);skin(19);oesophagus(3);NS(3);prostate(2);pleura(1);kidney(3);liver(4)	1	 The protein encoded by this gene is a member of the kinesin-like protein family. The family members are	2	http://www.ncbi.nlm.nih.gov/pubmed?term=KIF22[TIAB]+AND+cancer[MH]													
PRRT2	1	SY					C1868682	OMIM:128200	116	upper_aerodigestive_tract(4);cervix(1);large_intestine(50);stomach(3);central_nervous_system(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);breast(1);biliary_tract(1);endometrium(1);urinary_tract(4);lung(3);liver(8);skin(16);oesophagus(4);ovary(2);NS(3);prostate(4);bone(1);kidney(2);pancreas(3)	1	 This gene encodes a transmembrane protein containing a proline-rich domain in its N-terminal half. Studies in mice	0														
SEZ6L2	1	MS							261	large_intestine(41);endometrium(15);lung(17);skin(79);autonomic_ganglia(1);kidney(2);thyroid(1);cervix(4);central_nervous_system(9);oesophagus(7);NS(7);upper_aerodigestive_tract(8);biliary_tract(4);stomach(12);soft_tissue(2);urinary_tract(10);breast(11);prostate(5);pancreas(4);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(2);ovary(3);bone(2);liver(13)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SEZ6L2[TIAB]+AND+cancer[MH]				0.159	0.61188	1							
ASPHD1	1	II							104	upper_aerodigestive_tract(12);cervix(3);large_intestine(25);stomach(4);soft_tissue(1);central_nervous_system(3);bone(1);haematopoietic_and_lymphoid_tissue(3);kidney(3);salivary_gland(1);endometrium(7);biliary_tract(1);oesophagus(2);liver(4);skin(18);lung(2);NS(2);prostate(3);thyroid(3);breast(4);pancreas(2)	1	No GeneCards annotation	0					0.01	0.97098	1							
TAOK2	2	SY							254	large_intestine(41);endometrium(13);lung(8);skin(39);kidney(2);thyroid(2);cervix(7);central_nervous_system(1);genital_tract(1);oesophagus(13);NS(5);upper_aerodigestive_tract(6);biliary_tract(4);stomach(25);soft_tissue(7);urinary_tract(8);liver(16);prostate(13);pituitary(1);pancreas(4);adrenal_gland(2);salivary_gland(1);haematopoietic_and_lymphoid_tissue(11);ovary(12);bone(2);breast(10)	1	 This gene encodes a serine/threonine protein kinase that is involved in many different processes, including, cell	0														
DOC2A	2	MS							107	upper_aerodigestive_tract(2);adrenal_gland(1);large_intestine(26);stomach(6);soft_tissue(1);central_nervous_system(2);cervix(1);small_intestine(2);breast(8);biliary_tract(1);endometrium(9);urinary_tract(3);lung(3);liver(9);skin(21);oesophagus(3);ovary(2);NS(1);prostate(2);bone(1);pancreas(3)	1	 There are at least two protein isoforms of the Double C2 protein, namely alpha (DOC2A) and beta (DOC2B), which	1	http://www.ncbi.nlm.nih.gov/pubmed?term=DOC2A[TIAB]+AND+cancer[MH]				0.249	0.4369	1							
FAM57B	1	SY							72	thyroid(3);upper_aerodigestive_tract(3);large_intestine(20);stomach(1);soft_tissue(2);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(3);biliary_tract(1);urinary_tract(1);oesophagus(1);breast(5);skin(23);lung(2);ovary(1);bone(1);kidney(1);liver(2)	1	No GeneCards annotation	0														
ALDOA	1	SY					C0272066	OMIM:611881;SNOMED CT:HNSHA due to aldolase A deficiency	84	upper_aerodigestive_tract(2);cervix(3);large_intestine(20);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(3);kidney(2);biliary_tract(3);endometrium(8);urinary_tract(4);lung(9);breast(8);skin(6);oesophagus(3);ovary(2);pancreas(3);prostate(2);bone(2);liver(2)	1	 This gene product, Aldolase A (fructose-bisphosphate aldolase) is a glycolytic enzyme that catalyzes the reversible  conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate. Three aldolase  isozymes (A, B, and C), encoded by three different genes, are differentially expressed during development. Aldolase A  is found in the developing embryo and is produced in even greater amounts in adult muscle. Aldolase A expression is  repressed in adult liver, kidney and intestine and similar to aldolase C levels in brain and other nervous tissue.  Aldolase A deficiency has been associated with myopathy and hemolytic anemia. Alternative splicing of this gene  results in multiple transcript variants which encode the same protein. (provided by RefSeq)	9	http://www.ncbi.nlm.nih.gov/pubmed?term=ALDOA[TIAB]+AND+cancer[MH]													
TBX6	1	ID					C1852521	OMIM:122600	81	thyroid(4);large_intestine(15);stomach(7);soft_tissue(3);liver(3);small_intestine(2);haematopoietic_and_lymphoid_tissue(4);biliary_tract(3);endometrium(6);urinary_tract(1);oesophagus(6);breast(2);skin(10);lung(5);ovary(1);NS(3);prostate(2);kidney(2);pancreas(2)	1	 This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the  T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. Knockout  studies in mice indicate that this gene is important for specification of paraxial mesoderm structures. (provided by  RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=TBX6[TIAB]+AND+cancer[TIAB]				0.2	0.37623	1							
